昌平沙河 沙河精品公寓 1室0厅 整租， 昌平沙河高教园城铁站西侧400米,http://bj.58.com/pinpaigongyu/31305934443831x.shtml?psid=106852525197209350604428363,700,'116.277067','40.172651'
昌平北七家 宏福 主卧 3室 朝南，快速公交车3号线,http://bj.58.com/pinpaigongyu/31305430935598x.shtml?psid=106852525197209350604428363,1000,'116.373306','40.119828'
昌平沙河 沙河高教大楼 1室0厅 整租，北沙河东路,http://bj.58.com/pinpaigongyu/31305651482055x.shtml?psid=106852525197209350604428363,1000,'116.276723','40.172415'
昌平沙河 兆丰家园西区 主卧 3室 朝南，高教园南三街,http://bj.58.com/pinpaigongyu/31305571462212x.shtml?psid=106852525197209350604428363,1000,'116.286117','40.157209'
昌平沙河 昌平精品公寓 1室0厅 整租， 昌平沙河高教园城铁站西侧400米,http://bj.58.com/pinpaigongyu/31305905805645x.shtml?psid=106852525197209350604428363,700,'116.277138','40.172623'
昌平沙河 精品公寓 1室0厅 整租， 昌平沙河高教园城铁站西侧400米,http://bj.58.com/pinpaigongyu/31305849811891x.shtml?psid=106852525197209350604428363,700,'116.277246','40.172596'
昌平沙河 沙河精品公寓 1室0厅 整租， 昌平沙河高教园城铁站西侧400米,http://bj.58.com/pinpaigongyu/31305888831178x.shtml?psid=106852525197209350604428363,700,'116.277498','40.172706'
昌平沙河 兆丰家园西区 次卧 3室 朝东，高教园南三街,http://bj.58.com/pinpaigongyu/31305498514127x.shtml?psid=106852525197209350604428363,1000,'116.286117','40.157209'
昌平沙河 精品公寓 1室0厅 整租，地铁昌平线沙河高教园站下车,http://bj.58.com/pinpaigongyu/31305677847617x.shtml?psid=106852525197209350604428363,800,'116.275504','40.172678'
昌平沙河 精品公寓 1室0厅 整租， 昌平沙河高教园城铁站西侧400米,http://bj.58.com/pinpaigongyu/31305867419588x.shtml?psid=106852525197209350604428363,700,'116.277138','40.172623'
昌平沙河 北街家园五区 1室0厅 整租，北沙河西五路,http://bj.58.com/pinpaigongyu/30896978158908x.shtml?psid=106852525197209350604428363,750,'116.27526374','40.1726977925'
朝阳四惠 4室1厅 整租，地铁八通线传媒大学站南200米处,http://bj.58.com/pinpaigongyu/30777323651889x.shtml?psid=106852525197209350604428363,950,'116.562635','39.910571'
昌平沙河 北街家园C区 1室0厅 整租，高教园北一街,http://bj.58.com/pinpaigongyu/30963034681769x.shtml?psid=106852525197209350604428363,800,'116.276623','40.17038'
昌平沙河 北街家园五区 1室0厅 整租，北沙河西五路,http://bj.58.com/pinpaigongyu/30896914830416x.shtml?psid=106852525197209350604428363,800,'116.27526374','40.1726977925'
昌平昌平县城 宜山居 1室0厅 整租，昌金路,http://bj.58.com/pinpaigongyu/30962954058161x.shtml?psid=106852525197209350604428363,800,'116.319391','40.213027'
朝阳四惠 4室1厅 整租，地铁八通线传媒大学站南200米处,http://bj.58.com/pinpaigongyu/30755237138487x.shtml?psid=106852525197209350604428363,950,'116.562635','39.910571'
昌平沙河 北街家园五区 1室0厅 整租，北沙河西五路,http://bj.58.com/pinpaigongyu/30896958777020x.shtml?psid=106852525197209350604428363,750,'116.27526374','40.1726977925'
海淀西二旗 西二旗铭科苑 1室0厅 整租，安宁庄西路29号,http://bj.58.com/pinpaigongyu/31111093585485x.shtml?psid=106852525197209350604428363,800,'116.321761','40.057926'
昌平沙河 北街家园五区 1室0厅 整租，北沙河西五路,http://bj.58.com/pinpaigongyu/30896982786601x.shtml?psid=106852525197209350604428363,750,'116.27526374','40.1726977925'
海淀西二旗 西二旗铭科苑 1室0厅 整租，安宁庄西路29号,http://bj.58.com/pinpaigongyu/30956257616172x.shtml?psid=106852525197209350604428363,800,'116.321761','40.057926'
昌平沙河 精品公寓 1室0厅 整租，地铁昌平线沙河高教园站下车,http://bj.58.com/pinpaigongyu/31305677847617x.shtml?psid=140021313197209381799562055,800,'116.275504','40.172678'
昌平沙河 精品公寓 1室0厅 整租， 昌平沙河高教园城铁站西侧400米,http://bj.58.com/pinpaigongyu/31305867419588x.shtml?psid=140021313197209381799562055,700,'116.277138','40.172623'
大兴黄村 华远和墅雅园 主卧 3室 朝西南，南六环磁各庄桥往南2公里,http://bj.58.com/pinpaigongyu/28788953997101x.shtml?psid=140021313197209381799562055,980,'116.41008','39.709105'
昌平沙河 北街家园五区 1室0厅 整租，北沙河西五路,http://bj.58.com/pinpaigongyu/30897047579337x.shtml?psid=140021313197209381799562055,800,'116.27526374','40.1726977925'
朝阳四惠 4室1厅 整租，地铁八通线传媒大学站南200米处,http://bj.58.com/pinpaigongyu/30777323651889x.shtml?psid=140021313197209381799562055,950,'116.562635','39.910571'
昌平沙河 北街家园五区 1室0厅 整租，北沙河西五路,http://bj.58.com/pinpaigongyu/30897023931966x.shtml?psid=140021313197209381799562055,750,'116.27526374','40.1726977925'
昌平沙河 沙河高教园八区 1室0厅 整租，高教园北三街,http://bj.58.com/pinpaigongyu/30963021403326x.shtml?psid=140021313197209381799562055,800,'116.266217','40.172379'
昌平沙河 北街家园五区 1室0厅 整租，北沙河西五路,http://bj.58.com/pinpaigongyu/30896935805004x.shtml?psid=140021313197209381799562055,750,'116.27526374','40.1726977925'
朝阳四惠 4室1厅 整租，地铁八通线传媒大学站南200米处,http://bj.58.com/pinpaigongyu/30755237138487x.shtml?psid=140021313197209381799562055,950,'116.562635','39.910571'
昌平沙河 北街家园五区 1室0厅 整租，北沙河西五路,http://bj.58.com/pinpaigongyu/30896926091728x.shtml?psid=140021313197209381799562055,800,'116.27526374','40.1726977925'
海淀西二旗 铭科苑 1室0厅 整租，西二旗大街,http://bj.58.com/pinpaigongyu/30878193120696x.shtml?psid=140021313197209381799562055,800,'116.322318','40.058643'
昌平沙河 北街家园五区 1室0厅 整租，北沙河西五路,http://bj.58.com/pinpaigongyu/30896945432876x.shtml?psid=140021313197209381799562055,750,'116.27526374','40.1726977925'
昌平沙河 兆丰家园东区 1室0厅 整租，高教园南三街,http://bj.58.com/pinpaigongyu/30955201479606x.shtml?psid=140021313197209381799562055,800,'116.29063','40.158069'
昌平沙河 北街家园五区 1室0厅 整租，北沙河西五路,http://bj.58.com/pinpaigongyu/30897036812602x.shtml?psid=140021313197209381799562055,750,'116.27526374','40.1726977925'
昌平回龙观 朱辛庄新区 1室0厅 整租，朱辛庄东路,http://bj.58.com/pinpaigongyu/30878442434738x.shtml?psid=140021313197209381799562055,800,'116.316878','40.106174'
昌平沙河 北街家园五区 1室0厅 整租，北沙河西五路,http://bj.58.com/pinpaigongyu/30897058060487x.shtml?psid=140021313197209381799562055,800,'116.27526374','40.1726977925'
海淀西二旗 领秀硅谷2区 1室0厅 整租，西二旗中路6号,http://bj.58.com/pinpaigongyu/30955198918861x.shtml?psid=140021313197209381799562055,800,'116.323056','40.061374'
昌平沙河 北街家园五区 1室0厅 整租，北沙河西五路,http://bj.58.com/pinpaigongyu/30896955097526x.shtml?psid=140021313197209381799562055,750,'116.27526374','40.1726977925'
海淀西二旗 西二旗铭科苑 1室0厅 整租，安宁庄西路29号,http://bj.58.com/pinpaigongyu/31032875238477x.shtml?psid=140021313197209381799562055,800,'116.321761','40.057926'
昌平沙河 北街家园五区 1室0厅 整租，北沙河西五路,http://bj.58.com/pinpaigongyu/30896966739641x.shtml?psid=140021313197209381799562055,750,'116.27526374','40.1726977925'
昌平沙河 北街家园五区 1室0厅 整租，北沙河西五路,http://bj.58.com/pinpaigongyu/30896942525366x.shtml?psid=113082939197209413928831070,750,'116.27526374','40.1726977925'
朝阳四惠 4室1厅 整租，地铁八通线传媒大学站南200米处,http://bj.58.com/pinpaigongyu/30777323651889x.shtml?psid=113082939197209413928831070,950,'116.562635','39.910571'
昌平沙河 北街家园五区 1室0厅 整租，北沙河西五路,http://bj.58.com/pinpaigongyu/30897053024455x.shtml?psid=113082939197209413928831070,750,'116.27526374','40.1726977925'
海淀上地 枫润家园 1室0厅 整租，上地南路10号,http://bj.58.com/pinpaigongyu/30911948347460x.shtml?psid=113082939197209413928831070,800,'116.322156','40.035126'
昌平沙河 北街家园五区 1室0厅 整租，北沙河西五路,http://bj.58.com/pinpaigongyu/30896972066893x.shtml?psid=113082939197209413928831070,750,'116.27526374','40.1726977925'
朝阳四惠 4室1厅 整租，地铁八通线传媒大学站南200米处,http://bj.58.com/pinpaigongyu/30755237138487x.shtml?psid=113082939197209413928831070,950,'116.562635','39.910571'
昌平沙河 北街家园五区 1室0厅 整租，北沙河西五路,http://bj.58.com/pinpaigongyu/30896919975098x.shtml?psid=113082939197209413928831070,800,'116.27526374','40.1726977925'
海淀西二旗 智学苑 1室0厅 整租，西二旗大街,http://bj.58.com/pinpaigongyu/31111086498108x.shtml?psid=113082939197209413928831070,800,'116.317262','40.056477'
昌平沙河 北街家园五区 1室0厅 整租，北沙河西五路,http://bj.58.com/pinpaigongyu/30896969448007x.shtml?psid=113082939197209413928831070,750,'116.27526374','40.1726977925'
昌平沙河 北街家园五区 1室0厅 整租，北沙河西五路,http://bj.58.com/pinpaigongyu/30897068534953x.shtml?psid=113082939197209413928831070,800,'116.27526374','40.1726977925'
昌平沙河 北街家园五区 1室0厅 整租，北沙河西五路,http://bj.58.com/pinpaigongyu/30896948829764x.shtml?psid=113082939197209413928831070,750,'116.27526374','40.1726977925'
昌平沙河 北街家园五区 1室0厅 整租，北沙河西五路,http://bj.58.com/pinpaigongyu/30896952141749x.shtml?psid=113082939197209413928831070,750,'116.27526374','40.1726977925'
大兴黄村 枣园小区 次卧 3室 朝南，兴华大街,http://bj.58.com/pinpaigongyu/30874650523698x.shtml?psid=147849650197209434708891692,1480,'116.334123','39.757409'
朝阳垡头 燕保祈东家园 次卧 3室 朝南，焦化厂燕保祈东家园小区4楼1单元704室,http://bj.58.com/pinpaigongyu/31232493043771x.shtml?psid=147849650197209434708891692,1420,'116.544614','39.859265'
大兴黄村 佟馨家园 主卧 3室 朝南，佟前路,http://bj.58.com/pinpaigongyu/30887597082314x.shtml?psid=147849650197209434708891692,1480,'116.340296','39.743298'
大兴黄村 双河北里小区 主卧 3室 朝南，京开路,http://bj.58.com/pinpaigongyu/31251402452146x.shtml?psid=147849650197209434708891692,1450,'116.35486','39.74543'
大兴黄村 佟前路 主卧 3室 朝南，佟前路,http://bj.58.com/pinpaigongyu/30877727326520x.shtml?psid=147849650197209434708891692,1480,'116.319114','39.730661'
朝阳豆各庄 富力又一城C区 次卧 3室 朝东，大鲁店北路,http://bj.58.com/pinpaigongyu/30963923842366x.shtml?psid=147849650197209434708891692,1480,'116.564442','39.853055'
大兴黄村 佟馨家园 主卧 3室 朝南，佟前路,http://bj.58.com/pinpaigongyu/30878363176363x.shtml?psid=147849650197209434708891692,1480,'116.319006','39.730661'
大兴黄村 枣园小区 主卧 4室 朝南，兴华大街,http://bj.58.com/pinpaigongyu/30844798024378x.shtml?psid=147849650197209434708891692,1370,'116.334123','39.757409'
大兴黄村 佟馨家园 主卧 3室 朝南，佟前路,http://bj.58.com/pinpaigongyu/30889822783415x.shtml?psid=147849650197209434708891692,1480,'116.319006','39.730661'
朝阳豆各庄 富力又一城A区 次卧 4室 朝北，大鲁店北路,http://bj.58.com/pinpaigongyu/30933522843835x.shtml?psid=147849650197209434708891692,1080,'116.572886','39.852828'
朝阳四惠 迪9公寓（双桥店） 1室0厅 整租，步行10分钟到双桥地铁站,http://bj.58.com/pinpaigongyu/31046603990329x.shtml?psid=147849650197209434708891692,1500,'116.573342','39.909651'
通州土桥 1室0厅 整租，祥和乐园,http://bj.58.com/pinpaigongyu/30136941448763x.shtml?psid=147849650197209434708891692,1480,'116.710656','39.846583'
通州武夷花园 京贸国际城 次卧 4室 朝北，芙蓉东路,http://bj.58.com/pinpaigongyu/31188124765765x.shtml?psid=147849650197209434708891692,1490,'116.690943','39.925142'
北京周边其他 永顺嘉园 次卧 3室 朝西南，永顺街,http://bj.58.com/pinpaigongyu/31297380562353x.shtml?psid=147849650197209434708891692,1380,'118.70863','40.016355'
海淀西北旺 大牛坊(二期) 次卧 3室 朝北，永丰路,http://bj.58.com/pinpaigongyu/31252823034936x.shtml?psid=147849650197209434708891692,1480,'116.242042','40.092098'
朝阳花家地 花家地小区 次卧 2室 朝南，北四环东路,http://bj.58.com/pinpaigongyu/31195305812401x.shtml?psid=147849650197209434708891692,1200,'116.475936','39.989192'
昌平回龙观 龙禧苑五区 次卧 5室 朝东南，育知东路,http://bj.58.com/pinpaigongyu/31097897958195x.shtml?psid=147849650197209434708891692,1400,'116.341221','40.087129'
大兴黄村 佟家园小区 次卧 3室 朝北，佟前路,http://bj.58.com/pinpaigongyu/30963146687147x.shtml?psid=147849650197209434708891692,1380,'116.326344','39.73048'
海淀西北旺 大牛坊社区 次卧 3室 朝北，永丰路,http://bj.58.com/pinpaigongyu/30885329651516x.shtml?psid=147849650197209434708891692,1300,'116.242461','40.089831'
通州土桥 新城乐居北区 次卧 4室 朝北，颐瑞一街,http://bj.58.com/pinpaigongyu/31261338189617x.shtml?psid=147849650197209434708891692,1300,'116.697313','39.870766'
